"2021-12-27 15:37:39","http-nio-8888-exec-2","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","DuplicateKeyException: PreparedStatementCallback; SQL [INSERT INTO `adminlog` (id, adminname, oper, delid, delname, addtime) VALUES (?, ?, ?, ?, ?, ?)]; Duplicate entry '10009' for key 'PRIMARY'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '10009' for key 'PRIMARY'"
"2021-12-27 15:40:57","http-nio-8888-exec-1","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: StatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  ' at line 1"
"2021-12-27 15:50:26","http-nio-8888-exec-1","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","TransientDataAccessResourceException: PreparedStatementCallback; SQL [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; Parameter index out of range (0 < 1 ).; nested exception is java.sql.SQLException: Parameter index out of range (0 < 1 )."
"2021-12-27 16:05:27","http-nio-8888-exec-4","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","TransientDataAccessResourceException: PreparedStatementCallback; SQL [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; Parameter index out of range (0 < 1 ).; nested exception is java.sql.SQLException: Parameter index out of range (0 < 1 )."
"2021-12-27 16:06:42","http-nio-8888-exec-1","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
"2021-12-27 16:07:34","http-nio-8888-exec-3","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
"2021-12-27 16:10:54","http-nio-8888-exec-2","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
"2021-12-27 16:11:44","http-nio-8888-exec-5","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
"2021-12-27 16:24:31","http-nio-8888-exec-1","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
"2021-12-27 16:50:11","http-nio-8888-exec-3","xiaoyuzi_new","ERROR","任务【xiaoyuzi_new】-【adminlog】第【1】次转储出现异常","BadSqlGrammarException: PreparedStatementCallback; bad SQL grammar [UPDATE `adminlog` SET `id` = ? , `adminname` = ? , `oper` = ? , `delid` = ? , `delname` = ? , `addtime` = ?  WHERE `id` = ?]; nested exception is java.sql.SQLException: No value specified for parameter 2"
